1,10
2,15
3,13
4,15
5,15
6,6
7,14
8,11
9,4
10,3
11,11
12,11
13,14
14,3
15,3
16,10
17,5
18,7
19,7
20,9
21,5
22,11
23,3
24,10
25,4
26,2
27,10
28,9
29,8
30,4
31,14
32,8
33,13
34,2
35,11
36,9
37,7
38,7
39,4
40,9
41,2
42,11
43,8
44,7
45,11
46,5
47,14
48,4
49,13
50,15
51,11
52,3
53,2
54,14
55,6
56,3
57,9
58,9
59,14
60,5
61,10
62,12
63,14
64,4
65,11
66,5
67,2
68,14
69,9
70,14
71,14
72,8
73,12
74,9
75,12
76,4
77,15
78,8
79,7
80,4
81,11
82,2
83,3
84,10
85,13
86,7
87,15
88,6
89,6
90,14
91,3
92,2
93,7
94,6
95,6
96,15
97,15
98,11
99,6
100,14
101,14
102,11
103,13
104,11
105,8
106,6
107,11
108,3
109,12
110,2
111,5
112,13
113,11
114,14
115,8
116,8
117,2
118,14
119,10
120,10
121,2
122,12
123,13
124,8
125,8
126,12
127,6
128,2
129,8
130,14
131,4
132,11
133,7
134,13
135,12
136,4
137,14
138,8
139,7
140,5
141,5
142,8
143,12
144,15
145,5
146,7
147,2
148,7
149,10
150,7
151,14
152,2
153,12
154,8
155,13
156,6
157,15
158,8
159,3
160,4
161,3
162,7
163,9
164,14
165,13
166,6
167,2
168,6
169,6
170,4
171,3
172,5
173,6
174,3
175,11
176,15
177,5
178,13
179,13
180,15
181,7
182,2
183,3
184,13
185,9
186,10
187,13
188,8
189,2
190,11
191,8
192,6
193,15
194,10
195,2
196,7
197,4
198,10
199,5
200,13
201,6
202,3
203,5
204,5
205,12
206,14
207,15
208,9
209,2
210,2
211,4
212,15
213,14
214,11
215,7
216,14
217,11
218,8
219,9
220,2
221,6
222,11
223,7
224,8
225,13
226,15
227,11
228,4
229,13
230,11
231,2
232,11
233,5
234,13
235,10
236,5
237,7
238,15
239,10
240,4
241,11
242,5
243,13
244,9
245,14
246,2
247,3
248,6
249,8
250,12
251,10
252,10
253,3
254,4
255,10
256,4
257,6
258,5
259,9
260,11
261,13
262,2
263,8
264,2
265,6
266,10
267,12
268,15
269,5
270,7
271,15
272,7
273,13
274,5
275,3
276,8
277,14
278,8
279,4
